requirement_id,section,source_digest,modal,work_packages,test_or_gate,artifact,owner,feature,heading,statement
REQ-4.5-e4b47eba-ac279f0065d8bb7f,4.5,ac279f0065d8bb7fb37fd6bbc3a86539b9c6c7386fa35529513da098d20166f8,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,outcome-affecting 只有通过冻结 ExperimentContract 的 effect claim 才能得到 `supported-*` decision；`inconclusive` 可以是有效结果，但不能被编码为 absent 或成功效果。
REQ-4.5-e4b47eba-8bb1c01e9cf08281,4.5,8bb1c01e9cf082818d74f349e7328943f9e23b1030ea58dc693ee5e8674998c7,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,较高来源不能覆盖其未覆盖的字段；
REQ-4.5-e4b47eba-c43bb11482fa327b,4.5,c43bb11482fa327b550e27b7e0b323f290909a1fadccd5a5d12b517fa29b23f2,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,两个 current、同覆盖的高质量证据矛盾时保留 `conflicted`，禁止静默择一。
REQ-4.5-e4b47eba-f4480178d9ccc97b,4.5,f4480178d9ccc97b0bad40b3606105ee4f0293be3bd050ae4f54b7af382204f4,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,LLM suggestion 不属于 Claim provenance，永不进入该序列。
REQ-4.6-57528cc1-d25ecadec4693516,4.6,d25ecadec469351647b41682736d81dbbf2810f235ed9c0baededf1f59924166,MUST,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.6 Context capability taxonomy,`context-capability-matrix.yaml` 使用下列版本化类别，任何发现项或动态事件必须归入一类；
REQ-4.6-57528cc1-2a5caa25429188cd,4.6,2a5caa25429188cd8483d599e8e039cca45362807d84e0cd3e5691a1cb6a5924,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.6 Context capability taxonomy,矩阵是对“完整上下文”承诺的边界，不允许只实现文件类资产后把动态类别省略。
REQ-4.7-b856dd07-af109f5e6386046c,4.7,af109f5e6386046c611d6d2578c34f1a0e6b8270c26cc67795246b4b74b1e490,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,`structural-only`：文件/manifest/plan 与 Expected 结构一致，但至少一个 required observed surface 不可取得。它不能被显示为“已经生效”或“跨设备完全一致”。
REQ-4.7-b856dd07-e5ff0d716f1224e9,4.7,e5ff0d716f1224e91ea3cc270d7af2df1d1a97509042ffad16dec62fd2eaefb4,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,任何较早步骤失败都保留后续未执行项，禁止用总分掩盖。
REQ-4.7-b856dd07-0a1389fe81700563,4.7,0a1389fe81700563f029014acb6d8de3061de8da704249d7b6cb75d2d0aa8066,ONLY-IF,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,两个 Receipt 只有在同一 `EquivalenceProfile` 下才可称等价。
REQ-4.7-b856dd07-4947d381cb4340b3,4.7,4947d381cb4340b32c0a9e4b2bd2a0d0900d43d0b3a22474d6cab9f9427e3716,MUST,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,Profile 必须固定 schema major、desired-state revision、required intent set、policy snapshot、required claim tuple 与允许的 device-specific 差异。
REQ-4.7-b856dd07-4798c73aafd5978c,4.7,4798c73aafd5978c4ed9c29f714f22040457ec73d4b0cd64abd7776ee28c2479,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,不能比较的本地 keyed digest 只能产生 `indeterminate`，不能被正文相似度替代。
REQ-4.7-b856dd07-212db669b2a9a263,4.7,212db669b2a9a26393de0d5c8919f33e86459efcdcb76b2ce491f42471ce1f14,MUST,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,跨 harness 对齐必须是语义的、harness-native 的。
REQ-4.7-b856dd07-37770d6378631a15,4.7,37770d6378631a1596562e6583bdc01ba826d25743ba0b48f2608cf8938d0e25,MUST-NOT,WP-01,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,不得把一份 MD/config 的 byte/hash 相等当作 CanonicalIntent 等价或对齐通过。
REQ-4.7-b856dd07-44b52a2674271681,4.7,44b52a2674271681fb29dcd16ca393136e8d03b02abbdbeb7c06182fe4f4e03c,MUST,WP-01,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,NA,4.7 Semantic reconciliation 与等价 Receipt,投影结果枚举必须与核对状态正交，详见 [semantic-alignment-and-team-standard](../architecture/semantic-alignment-and-team-standard.md)。
REQ-4.8-ffa57981-cc88421cbcccaf7e,4.8,cc88421cbcccaf7e7a6a7decee7f7b890013eaecf8ebc68622c69a21c176e059,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.8 生命周期 Facet 与 Effect claim 编码,UI 不得用一条“必然向右推进”的箭头误导。
REQ-6.1-6b94df66-c35e5f389f0b7441,6.1,c35e5f389f0b74416f45e9ca03a6c2c4573dfc4b79badb56f002169faeb09198,MUST-AND-MUST-NOT,WP-02;WP-04;WP-05,docs-structure; daemon/CI gates in WP-05/WP-11,docs/guides/user-guide.md; docs/guides/operations.md,product-core,NA,6.1 长期开启模式的产品约束,daemon 必须可选，产品不能要求后台常驻才能使用。
REQ-8-b0a85314-e59934b270a9603e,8,e59934b270a9603e3b2ab0fc8d58076cf719386202446b80730aaae959111cd4,MUST-AND-MUST-NOT,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,必须探测 §11 声明的 18 个 adapter family 的 executable、App bundle、版本、可用 surface 和相关 home/config roots；探测不到的 family 显式为 `not-installed`，不能从配置目录或 recent-item 痕迹推断为可运行。
REQ-8-b0a85314-aacdafeedbebab8e,8,aacdafeedbebab8ef72097cccfcd882d3b96a4bb7a5f965cb2639764ca3a2e7d,MUST,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,安装状态必须拆成 `executable-present / app-present / config-residue-present / authenticated / connector-ready`，避免把“曾安装”“有配置”“当前可运行”合成一个 Active。
REQ-8-b0a85314-927a79d6ba590b99,8,927a79d6ba590b99c00174e81e1eb92e29daceb95972d2522d4b833b6f680450,MUST-AND-MUST-NOT,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,必须记录 OS、架构、设备 profile、cwd、project root、Git root/worktree，以及环境变量的 `observed injection channel / user-attested / unknown`；进程只有最终值时不得反推 shell rc、IDE 或父进程来源。
REQ-8-b0a85314-363a9b75d49dc58e,8,363a9b75d49dc58ebcef2ff5a953dafe97c78cf30d2c52fcafe7840cb09e83f4,MUST,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,必须建立 `AccountProfile`、`OrganizationContext`、`PolicySnapshot` 并纳入 ResolutionCoordinate。标识使用用户本地 alias 与域隔离 keyed opaque id，不持久化原始邮箱、账号名或 tenant id；官方 surface 不暴露时为 user-attested/unknown。
REQ-8-b0a85314-a11d64aa9b70655a,8,a11d64aa9b70655a4ee976830a69dc69e62a1b8bf8dfe8afb0de4d29d0688446,MUST,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,必须支持显式覆盖路径，且在 receipt 中显示覆盖来源。
REQ-8-b0a85314-7e01da346a0e5dcf,8,7e01da346a0e5dcfae106b65be0e3460428e8d81a36d5f909b42e08250abe2a6,MUST,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,必须把本机、SSH、Dev Container/Docker、CI、云端执行环境作为不同 environment profile。
REQ-8-b0a85314-046234d8a948e12a,8,046234d8a948e12ad6a25a682f2bfedb55524b95b24d9eb024a445f16c6e3008,MUST,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,可选 SSH collector 必须调用系统 SSH、严格验证 `known_hosts`/host key，不保存密码，显式授权远端 project/home roots，进行 collector schema/version negotiation；认证、路径、升级或网络失败时受影响 claim 为 indeterminate/unknown。
REQ-8-b0a85314-2d75628a4a3b8639,8,2d75628a4a3b8639b504809efd55439c9af35ef5a76f67e690e00cdbe3f2c034,MUST-AND-MUST-NOT,WP-01;WP-02,compatibility matrix; environment fixtures; unknown-version exit 3,acceptance/*; docs/process/implementation-plan.md; F-01,product-core,F-01,F-01 环境与 Harness 探测,未知版本所有依赖 harness 行为的 claim 一律为 `indeterminate + unknown`，不能用于通过 CI 或建立新 baseline。最近兼容 adapter 只可在用户显式开启的“探索预览”中运行，其输出全部标 `unverified preview`，不得改变权威 Receipt；任何非阻断例外必须由显式 policy 授权并写入 Receipt。
REQ-8-67fc6ee3-bf0be1f1832dc510,8,bf0be1f1832dc5108887bacd39a519d443c753e0231303b2892f9e2a200fb7e2,MUST,WP-01;WP-02,corpus discovery F1; filesystem/security negatives,acceptance/*; docs/process/implementation-plan.md; F-02,product-core,F-02,F-02 资产发现与 Inventory,必须发现 taxonomy 中可静态存在的 instructions、rules、memory、skills、plugins、custom commands/prompts、agent/subagent definitions、MCP server/tool/prompt/resource 声明、hooks、profiles、managed/user/team 声明和遗留格式；动态类别必须建立 capability placeholder。
REQ-8-67fc6ee3-3da60ecec25cb1a3,8,3da60ecec25cb1a3d8979f0338f72030417b0486dd1b17e98d0eedc0a2fb0990,MUST,WP-01;WP-02,corpus discovery F1; filesystem/security negatives,acceptance/*; docs/process/implementation-plan.md; F-02,product-core,F-02,F-02 资产发现与 Inventory,必须覆盖 global、managed、team、user、project、nested、local、runtime scope。
REQ-8-67fc6ee3-c1ad36ea7b371fde,8,c1ad36ea7b371fdeb455054e5b78caa752c362d73f2f32fbb4339e1941b054d4,MUST,WP-01;WP-02,corpus discovery F1; filesystem/security negatives,acceptance/*; docs/process/implementation-plan.md; F-02,product-core,F-02,F-02 资产发现与 Inventory,必须识别 symlink、hard link、重复内容、来源、内容 hash、Git tracked/ignored 状态。
REQ-8-67fc6ee3-379447fbbc5fbbd5,8,379447fbbc5fbbd5b72db473b13e3246a5eb41ef65c7c6475dca424526df1d74,MUST-NOT,WP-01;WP-02,corpus discovery F1; filesystem/security negatives,acceptance/*; docs/process/implementation-plan.md; F-02,product-core,F-02,F-02 资产发现与 Inventory,默认不得扫描 `.git`、依赖目录、构建产物、`.env`、私钥和用户排除路径的正文。
REQ-8-67fc6ee3-140551462aaa67f0,8,140551462aaa67f0151027bb8c3d98a129ee79fb788c17f7b15d99f829396267,MUST,WP-01;WP-02,corpus discovery F1; filesystem/security negatives,acceptance/*; docs/process/implementation-plan.md; F-02,product-core,F-02,F-02 资产发现与 Inventory,对云端或 UI-only 设置必须保留占位节点，并允许 API 导入、导出文件导入或用户声明。
REQ-8-67fc6ee3-66bac1a2519b8398,8,66bac1a2519b8398171aaddda20f7a0a64a83eb377683d36aad279da19845b68,MUST-AND-MUST-NOT,WP-01;WP-02,corpus discovery F1; filesystem/security negatives,acceptance/*; docs/process/implementation-plan.md; F-02,product-core,F-02,F-02 资产发现与 Inventory,必须给每个 item 分配稳定 identity，规则见 §10.4；未经 persistent asset id 或用户确认，内容相同不能自动证明跨设备同一资产。
REQ-8-d137d040-820e1aa3d979b064,8,820e1aa3d979b06482164340084db556cf4781e35c5d7c9f2a09557d2f481429,MUST,WP-01;WP-02,claim tuple accuracy; native oracle reconciliation,acceptance/*; docs/process/implementation-plan.md; F-03,product-core,F-03,F-03 版本化 Resolver,必须实现 §11 中 18 个 adapter family 的声明 surface：四个 anchor 覆盖主要本地 coding surface；扩展 cohort 覆盖已声明的静态 resolver、可用原生 importer 和 Unknown honesty；Coze 按 connector/executor contract 实现，不伪装为同构 prompt harness。
REQ-8-d137d040-6ce1263793ed9e15,8,6ce1263793ed9e15d7d89463569a08c4c542d443805356df5a3f7b046071c82c,MUST,WP-01;WP-02,claim tuple accuracy; native oracle reconciliation,acceptance/*; docs/process/implementation-plan.md; F-03,product-core,F-03,F-03 版本化 Resolver,必须模拟目录链、优先级、加法/覆盖、fallback、ignore、cap、glob/path、manual、agent-selected、progressive activation。
REQ-8-d137d040-07980071b2442491,8,07980071b2442491d331a727c9e9b103997152a527840312a0db1ab1ae2d95bf,MUST,WP-01;WP-02,claim tuple accuracy; native oracle reconciliation,acceptance/*; docs/process/implementation-plan.md; F-03,product-core,F-03,F-03 版本化 Resolver,必须输出 resolution edges：included-by、excluded-by、shadowed-by、overridden-by、truncated-after、ignored-by、activated-by、unknown-because。
REQ-8-d137d040-2ed1a36437db262d,8,2ed1a36437db262d0a3a340b36595990da046dc2bec41a79e4c0504766cd9679,MUST,WP-01;WP-02,claim tuple accuracy; native oracle reconciliation,acceptance/*; docs/process/implementation-plan.md; F-03,product-core,F-03,F-03 版本化 Resolver,必须区分内容常驻成本、skill catalog/metadata 成本、激活正文成本、资源按需成本、tool schema 和 tool result。
REQ-8-d137d040-6379eb3e2fe638d4,8,6379eb3e2fe638d45b387f54f3d5d7daf0423f85db589de76bdbf649a11ed610,MUST,WP-01;WP-02,claim tuple accuracy; native oracle reconciliation,acceptance/*; docs/process/implementation-plan.md; F-03,product-core,F-03,F-03 版本化 Resolver,resolver 规则必须来自可链接的官方文档、匹配版本源码或原生观察；来源和更新时间进入 adapter manifest。
REQ-8-d137d040-8296fb7d649f705f,8,8296fb7d649f705f96b8ba57102ba05cfddf7c0faddc4283cc3f955cc6c1a2b9,MUST,WP-01;WP-02,claim tuple accuracy; native oracle reconciliation,acceptance/*; docs/process/implementation-plan.md; F-03,product-core,F-03,F-03 版本化 Resolver,每个 adapter 必须有 fixtures、golden receipts、负例、未知版本测试和真实原生诊断对账样本。
REQ-8-390f3c10-0878472893a92ba8,8,0878472893a92ba8463ac21227b1ad57954277fc50237446bc64ddd7e97467c7,MUST,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,用户必须能输入任务描述、目标文件或 glob、cwd、harness/surface/profile。
REQ-8-390f3c10-3aaecb6a686fd40f,8,3aaecb6a686fd40f557fb95dfabe1e7279eff3527fcdd5e89401f4535e08c56c,MUST,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,产品必须确定性计算已知的 eligible 条件；无法知道模型是否会自主选择时标 `agent-selected/unknown`。
REQ-8-390f3c10-e116c4878f08f0d1,8,e116c4878f08f0d1672c9ad2fd2863bde17f1341c9a5b3ed5a647a057180ea70,MUST-NOT,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,不得输出未校准的加载概率。
REQ-8-390f3c10-668e26c093b34c92,8,668e26c093b34c92ffb65591077c7d8964fce72a82d6f1094800a7a1de9c2b41,MUST,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,必须允许保存常用 task profiles，例如 code review、frontend、release、docs、incident。
REQ-8-390f3c10-dedd7595e0e08b7d,8,dedd7595e0e08b7dff742999d78592b21876a1e8f0789eb766fe8fcb7cb005a7,MUST,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,必须能从 preflight 启动 harness，或生成可复制、可审计的启动命令/环境说明。
REQ-8-390f3c10-29c614c4a92b5c66,8,29c614c4a92b5c66a07e0414ed9f9b931b92876e26bb8e3f65c3a6c97005c67f,MUST,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,启动后 Receipt 必须引用对应 preflight id，便于 expected/observed 对账。
REQ-8-390f3c10-eec790034aa80206,8,eec790034aa802066b8a9468bed48855237c73e5bfa3068d3b8b275a9b3831e8,MUST-AND-MUST-NOT,WP-02;WP-04;WP-05,task probe golden; shell/env injection negatives; preflight→runtime link,acceptance/*; docs/process/implementation-plan.md; F-04,product-core,F-04,F-04 Task Probe 与 Preflight,启动命令必须以参数数组/结构化 process API 生成，禁止字符串拼接后交给 shell；复制为 shell 文本时按目标 shell 严格 quoting，并对恶意路径、换行、环境变量注入做 fixture 测试。
REQ-8-2425d254-87dfbf3148e868b8,8,87dfbf3148e868b8458de16e1f3c5c0551365f76ad38dade5ae66d9ccb2899e2,MUST,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,必须支持 one-shot、preflight、runtime、post-session、device baseline、CI 六类 Receipt。
REQ-8-2425d254-959920648c09584c,8,959920648c09584c1d92c5da626f70514e4dd99d1434dc958f5c13680979b2f1,MUST,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,Receipt schema 必须版本化、可 JSON 导出、可签名、可脱敏、可比较。
REQ-8-2425d254-b36bff811d5dce93,8,b36bff811d5dce9336ee5ea42f515c9ae0f129fa430d9be1c06f07e553df74a8,MUST,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,每个 claim 必须引用 evidence id；evidence 包含来源、采集方式、时间、collector/resolver version、hash、质量和 reason code。
REQ-8-2425d254-a3677fe1e77a0e73,8,a3677fe1e77a0e737b2ca1d6716af47f6cf3a99c25d49753975d89eb750ca6cb,MUST,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,必须提供“Why is this here?”和“How do you know?”两个固定解释入口。
REQ-8-2425d254-9048d84c9b1f0cd7,8,9048d84c9b1f0cd7fafb225bac465c1dc1b19dc129e3ec311ef58ed9a2702cb0,MUST-AND-MUST-NOT,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,Receipt 必须显式列出未覆盖 surface 和 unknown；不得只展示成功发现的部分。
REQ-8-2425d254-736486ff81a68208,8,736486ff81a68208e727a42f8a8764b3333b0fe52890f14cf17b2673e8f1aa5d,MUST,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,必须支持 receipt verification，检测 schema、signature、digest 和附件完整性。
REQ-8-2425d254-f95c377199fce9eb,8,f95c377199fce9ebb8aae38ef08922cea8813c48869797e797b6a492c84183d1,MUST,WP-01;WP-03,Receipt schema/signature verification; tombstone/delete tests,acceptance/*; docs/process/implementation-plan.md; F-05,product-core,F-05,F-05 Context Receipt 与 Evidence Ledger,Receipt header/manifest 在生成后不可变；用户删除 evidence 或附件时保留不含正文的 tombstone 和原 digest，使历史签名仍可判定为“签名有效但附件已按策略删除”。派生分析必须删除或失效；已经导出的外部副本无法召回，UI 和删除确认必须明确说明。
REQ-8-1fac16ee-a2332f3881743024,8,a2332f38817430245ff236af87b2fbf29a0ff4e6b5947129664a94160a6ad794,MUST,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,主视图必须以 context lifecycle 和 scope 为主，而不是简单文件浏览器。
REQ-8-1fac16ee-dccdd63ae804332b,8,dccdd63ae804332b58e08651ee2936e823dc4efade30521caf533c124ec81ee4,MUST,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,必须提供：上下文带状/堆叠视图、加载状态、scope、来源、budget、置信度和未知区。
REQ-8-1fac16ee-0272ae9a4c98a7a6,8,0272ae9a4c98a7a6c349378e2b519b58eb9b6517babc0ecf064ef96fd35b3f9d,MUST,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,必须能从总量下钻到 item、resolution path、原文片段和证据。
REQ-8-1fac16ee-c59a4a96bc1a858a,8,c59a4a96bc1a858a132f7ffd0283069996cd3b1b394597e69b2f224e2adf25b6,MUST,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,必须支持按 harness、surface、device、environment、cwd、task、snapshot 切换。
REQ-8-1fac16ee-a2bf956c0d2d96a4,8,a2bf956c0d2d96a4cef07f631fc8227526822a1b0a9d7dafd2207623aa8901a3,MUST-AND-MUST-NOT,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,必须明确区分 expected、observed 和 effect 三层视觉编码，不能都用同一种绿色。
